is_male,num_inters,late_on_payment,age,years_in_contract,churned
1,0,0,41,3.240370349,0
0,0,0,34,3.240370349,0
0,1,1,24,3.0822070010000004,1
1,1,0,35,1.58113883,0
0,1,0,37,4.062019202,0
0,1,1,23,1.224744871,0
1,1,0,32,2.34520788,0
1,1,0,37,3.240370349,0
1,0,0,20,3.8078865530000003,0
0,1,0,33,2.121320344,0
1,1,0,35,2.549509757,0
0,0,0,34,0.7071067809999999,0
0,1,0,21,3.0822070010000004,1
0,0,0,27,1.8708286930000002,0
1,0,0,32,2.34520788,0
1,0,0,30,1.224744871,0
0,0,0,33,3.674234614,0
1,0,0,34,2.34520788,0
0,0,0,38,1.8708286930000002,0
0,1,0,32,1.58113883,0
0,1,1,30,1.224744871,0
1,1,0,14,1.58113883,0
0,1,0,25,1.8708286930000002,0
1,1,0,34,3.3911649919999998,0
1,0,0,23,2.549509757,1
1,0,0,31,0.7071067809999999,0
1,1,0,38,4.062019202,0
1,1,0,23,2.738612788,1
0,1,1,36,2.738612788,0
0,1,0,30,2.915475947,0
0,0,1,29,1.58113883,0
1,0,0,30,0.7071067809999999,0
1,1,1,23,1.224744871,1
1,1,0,26,2.121320344,1
1,0,0,30,2.34520788,0
1,1,0,30,1.224744871,0
0,1,0,25,0.7071067809999999,1
0,4,0,31,1.8708286930000002,1
0,0,0,26,3.0822070010000004,0
0,0,0,28,2.738612788,0
0,0,0,31,3.937003937,0
0,1,0,34,2.121320344,0
0,0,0,25,4.415880433,0
1,4,0,31,2.915475947,0
1,0,0,34,3.3911649919999998,0
0,1,0,36,1.224744871,0
1,0,0,35,3.240370349,0
1,0,0,43,5.244044241,0
1,0,0,38,4.062019202,0
1,1,0,32,1.224744871,0
1,1,0,23,5.431390246,1
1,0,0,27,1.8708286930000002,0
0,1,0,28,3.8078865530000003,0
1,1,0,27,2.121320344,0
0,1,0,26,2.549509757,1
0,0,0,26,2.738612788,0
0,0,0,28,3.5355339060000004,0
0,0,0,29,3.5355339060000004,0
0,1,0,36,1.58113883,0
1,0,0,23,3.0822070010000004,1
1,1,0,30,1.58113883,0
0,1,0,25,4.949747468,0
0,0,0,27,3.8078865530000003,0
0,1,0,31,1.224744871,0
0,0,0,32,3.674234614,0
1,1,0,40,0.7071067809999999,0
1,0,0,35,3.5355339060000004,0
0,0,0,34,2.549509757,0
0,0,0,30,1.58113883,0
0,1,0,35,3.0822070010000004,0
0,1,0,27,3.240370349,0
1,1,0,38,3.240370349,0
0,4,0,21,1.58113883,1
0,0,0,34,2.121320344,0
1,1,0,32,3.5355339060000004,0
0,1,0,34,2.549509757,0
1,1,0,19,3.674234614,0
1,4,0,34,2.549509757,0
0,1,0,34,0.7071067809999999,0
0,0,0,30,2.738612788,0
0,1,1,26,1.224744871,0
1,0,0,29,0.7071067809999999,0
1,1,0,30,1.8708286930000002,0
1,0,0,34,1.224744871,0
1,0,0,35,2.121320344,0
1,1,0,25,1.8708286930000002,0
0,1,0,27,2.738612788,0
0,1,0,36,3.240370349,0
1,0,0,31,1.58113883,0
1,0,0,27,1.8708286930000002,0
1,1,0,30,1.8708286930000002,0
0,1,0,36,4.527692569,0
0,1,0,30,1.58113883,0
1,0,0,35,5.0497524689999995,0
0,1,0,30,2.738612788,0
0,1,0,36,4.847679857,0
1,1,0,32,1.8708286930000002,0
0,0,0,35,0.7071067809999999,0
0,0,0,28,2.34520788,0
